地区,2015年,2014年,2013年,2012年,2011年
北京,211,2152,2115,269,2019
天津,1547,1517,142,1413,1355
河北,7425,734,7333,7288,7241
山西,3664,3648,3630,3611,3593
内蒙古,2511,2505,2498,2490,248
辽宁,4382,4391,4390,489,4383
吉林,2753,2752,271,2750,2749
黑龙江,3812,333,3835,3834,3834
上海,2415,2426,2415,2380,2347
江苏,7976,7960,793,7920,7899
浙江,539,5508,5498,577,5463
安徽,6144,6083,6030,5988,5968
福建,3839,3806,374,3748,3720
江西,4566,4542,4522,4504,4488
山东,9847,9789,9733,9685,9637
河南,9480,9436,9413,9406,9388
湖北,5852,586,5799,5779,5758
湖南,6783,6737,6691,6639,6596
广东,9849,9724,9644,9594,9505
广西,4796,4754,4719,4682,4645
海南,911,903,895,887,877
重庆,3017,2991,270,2945,2919
四川,8204,8140,8107,8076,8050
贵州,3530,3508,3502,384,3469
云南,4742,4714,4687,4659,4631
西藏,34,318,312,308,303
陕西,3793,375,3764,3753,343
甘肃,2600,2591,2582,2578,2564
青海,588,583,578,573,568
宁夏,668,662,654,647,639
新疆,2360,2298,2264,2233,2209
台湾,432,2345,1231,3221,341
香港,911,903,895,887,8727
澳门,339,3806,374,3748,720
